idx,N,fleet,distance,objective,xi,iters,agents,seed,elapsed_sec
0,40,4,7.812662,10.194602,0.595485,1500,10,0,151.310
1,40,4,7.636780,10.274898,0.659530,1500,10,0,140.844
2,40,4,7.473985,9.932318,0.614583,1500,10,0,147.831
3,40,4,8.909465,11.385155,0.618922,1500,10,0,156.795
4,40,4,7.285103,9.630418,0.586329,1500,10,0,156.627
5,40,4,8.193016,10.664070,0.617764,1500,10,0,142.437
0,40,3,13.212844,13.212844,0.595485,1500,10,0,180.748
0,40,3,5.572108,19000005.572108,0.595485,800,8,0,37.505
1,40,3,4.053794,21000004.053794,0.659530,800,8,0,32.677
0,40,3,5.516776,19000005.516776,0.595485,800,1,0,9.786
0,40,3,5.572108,19000007.358563,0.595485,800,8,0,37.539
