idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
0,120,18000,133.799191,30,5;4;6;4;4;4;4;3;4;4;5;4;9;6;6;3;6;3;3;3;4;3;3;3;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1907.586082
1,120,18000,160.224581,33,5;3;5;6;5;3;3;4;3;3;4;4;3;4;3;3;5;4;3;3;5;3;3;4;3;3;5;3;3;3;3;4;2,time,0.25;0.2;0.166667;0.142857;0.125,1941.837419
2,120,18000,192.853533,33,4;5;5;3;3;5;3;4;4;4;4;4;3;4;4;5;3;4;4;4;4;3;5;3;3;5;3;2;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1942.391028
3,120,18000,193.563582,30,3;8;5;5;4;4;6;4;4;6;3;4;4;3;4;3;3;3;5;5;5;4;3;4;3;3;3;5;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1933.598306
4,120,18000,147.892450,29,4;5;3;5;5;8;4;4;4;5;5;5;3;5;4;4;3;4;5;4;4;4;3;4;4;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1949.935844
5,120,18000,164.144600,30,4;4;4;4;4;4;5;6;3;5;3;3;3;3;7;4;4;3;5;4;6;3;4;3;4;3;5;3;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1942.170322
6,120,18000,166.581131,30,6;3;4;5;3;3;4;4;3;3;5;3;5;5;3;5;4;4;3;4;3;7;3;4;5;4;4;3;4;4,time,0.25;0.2;0.166667;0.142857;0.125,1974.157166
7,120,18000,136.622376,31,4;4;5;3;5;6;5;5;5;4;5;3;3;5;5;3;3;4;4;3;3;4;4;5;3;3;3;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1947.304675
8,120,18000,149.013531,31,4;4;5;4;6;4;3;4;4;3;5;3;4;5;4;4;3;4;4;3;4;3;3;3;4;4;3;4;4;6;2,time,0.25;0.2;0.166667;0.142857;0.125,1927.277405
9,120,18000,189.508202,32,3;5;3;4;4;4;6;4;3;5;5;4;3;5;3;6;3;4;3;3;4;3;4;3;3;4;3;3;3;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1957.255660
10,120,18000,172.399671,33,4;6;5;5;3;3;3;5;4;4;4;3;5;3;5;5;4;4;3;4;3;3;5;4;4;3;3;3;2;2;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1934.364358
